replicate,exchange_#,round,repeat_seq,actor,defender,offense_skill_chosen,offense_skill_value_at_roll,atk_roll,def_roll,atk_success,def_success,atk_margin,def_margin,outcome,effect_declared,location_index,zone,laterality,tag_check,resulting_staterecord,hp_alpha_after,hp_beta_after,pe_alpha_after,pe_beta_after,atk_overflow,def_overflow,atk_failure_xp,def_failure_xp,atk_advanced_skill_created,def_advanced_skill_created
1,107,27,2,Beta,Alpha,Grapple,34,8,80,True,False,26,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,229,372,87,131,0,0,0,38,,
1,108,28,1,Alpha,Beta,Trip,30,78,19,False,True,,22,defender-wins,,,,,,,229,372,59,150,0,0,48,0,,
1,109,28,1,Beta,Alpha,Trip,25,71,33,False,True,,9,defender-wins,,,,,,,229,372,76,129,0,0,46,0,,
1,110,29,1,Beta,Alpha,Disarm,31,55,96,False,False,,,repeat-bothfail,,,,,,,209,372,50,124,0,20,24,54,Disarm-Adv11(T3),
1,111,29,2,Beta,Alpha,Disarm,31,77,100,False,False,,,repeat-bothfail,,,,,,,159,372,50,97,0,50,46,57,Disarm-Adv12(T3),Defense-Adv8(T3)
1,112,29,3,Beta,Alpha,Disarm,32,9,30,True,True,23,14,attacker-wins,Disarm/Break Hold -> FAIL-AND-FALL-BACK -> Inflict Injury,90,Head,Right,fail-and-fall-back,"Fallback HP -9 (Base Inflict Injury, DEC-030)",150,372,70,138,0,0,0,0,,
1,113,29,1,Alpha,Beta,Disarm,28,20,32,True,True,8,9,defender-wins,,,,,,,150,372,100,150,0,0,0,0,,
1,114,30,1,Alpha,Beta,EquipmentDamage,30,84,8,False,True,,33,defender-wins,,,,,,,150,372,66,150,0,0,54,0,,
1,115,30,1,Beta,Alpha,EquipmentDamage,33,40,38,False,True,,6,defender-wins,,,,,,,150,372,78,150,0,0,7,0,,
1,116,31,1,Alpha,Beta,Attack,31,64,81,False,False,,,repeat-bothfail,,,,,,,150,372,64,119,0,0,33,40,,
1,117,31,2,Alpha,Beta,Attack,32,25,14,True,True,7,27,defender-wins,,,,,,,150,372,89,150,0,0,0,0,,
1,118,31,1,Beta,Alpha,Attack,31,19,70,True,False,12,,attacker-wins,Inflict Injury,,,,,HP -12,138,372,69,150,0,0,0,26,,
1,119,32,1,Alpha,Beta,Grapple,32,12,21,True,True,20,20,repeat-tie,,,,,,,138,372,107,150,0,0,0,0,,
1,120,32,2,Alpha,Beta,Grapple,32,99,36,False,True,,5,defender-wins,,,,,,,138,372,58,150,0,0,67,0,Grapple-Adv9(T3),
1,121,32,1,Beta,Alpha,Grapple,34,95,34,False,True,,10,defender-wins,,,,,,,138,372,74,105,0,0,61,0,,
1,122,33,1,Alpha,Beta,Trip,31,37,42,False,False,,,repeat-bothfail,,,,,,,138,372,87,113,0,0,6,1,,
1,123,33,2,Alpha,Beta,Trip,31,7,46,True,False,24,,attacker-wins,Knock Prone,70,Arms,Right,n/a,Location 70(Arms/Right) Tier-2 Prone Magnitude -2,138,372,130,117,0,0,0,5,,
1,124,33,1,Beta,Alpha,Trip,26,24,27,True,True,2,17,defender-wins,,,,,,,138,372,150,143,0,0,0,0,,
1,125,34,1,Beta,Alpha,Disarm,32,55,53,False,False,,,repeat-bothfail,,,,,,,138,372,147,138,0,0,23,9,Disarm-Adv13(T3),
1,126,34,2,Beta,Alpha,Disarm,32,23,67,True,False,9,,attacker-wins,Disarm/Break Hold -> FAIL-AND-FALL-BACK -> Inflict Injury,32,Torso,Right,fail-and-fall-back,"Fallback HP -9 (Base Inflict Injury, DEC-030)",129,372,130,150,0,0,0,23,,
1,127,34,1,Alpha,Beta,Disarm,28,94,73,False,False,,,repeat-bothfail,,,,,,,129,372,86,127,0,0,66,32,,
1,128,34,2,Alpha,Beta,Disarm,30,70,26,False,True,,15,defender-wins,,,,,,,129,372,66,150,0,0,40,0,,
1,129,35,1,Beta,Alpha,EquipmentDamage,33,24,47,True,False,9,,attacker-wins,Equipment Damage,42,Torso,Right,pass,Location 42(Torso/Right) Tier-2 EquipmentDamaged Magnitude -2,129,372,69,150,0,0,0,3,,
1,130,35,1,Alpha,Beta,EquipmentDamage,31,76,58,False,False,,,repeat-bothfail,,,,,,,122,372,50,142,7,0,45,17,,
1,131,35,2,Alpha,Beta,EquipmentDamage,32,51,49,False,False,,,repeat-bothfail,,,,,,,121,372,50,143,1,0,19,8,,
1,132,35,3,Alpha,Beta,EquipmentDamage,32,29,11,True,True,3,30,defender-wins,,,,,,,121,372,71,150,0,0,0,0,,
1,133,36,1,Beta,Alpha,Attack,31,40,44,False,True,,0,defender-wins,,,,,,,121,372,77,150,0,0,9,0,,
1,134,36,1,Alpha,Beta,Attack,32,83,13,False,True,,28,defender-wins,,,,,,,115,372,50,150,6,0,51,0,,
1,135,37,1,Beta,Alpha,Grapple,35,58,28,False,True,,16,defender-wins,,,,,,,115,372,72,142,0,0,23,0,,
1,136,37,1,Alpha,Beta,Grapple,34,99,22,False,True,,19,defender-wins,,,,,,,88,372,50,150,27,0,65,0,Grapple-Adv10(T3),
1,137,38,1,Beta,Alpha,Trip,26,54,16,False,True,,28,defender-wins,,,,,,,88,372,84,146,0,0,28,0,,
1,138,38,1,Alpha,Beta,Trip,31,23,55,True,False,8,,attacker-wins,Knock Prone,32,Torso,Right,n/a,Location 32(Torso/Right) Tier-2 Prone Magnitude -2,88,372,111,141,0,0,0,14,,Defense-Adv14(T3)
1,139,39,1,Beta,Alpha,Disarm,32,2,87,True,False,30,,attacker-wins,Disarm/Break Hold -> FAIL-AND-FALL-BACK -> Inflict Injury,20,Legs,Right,fail-and-fall-back,"Fallback HP -30 (Base Inflict Injury, DEC-030)",58,372,74,150,0,0,0,43,,
1,140,39,1,Alpha,Beta,Disarm,31,83,75,False,False,,,repeat-bothfail,,,,,,,49,372,50,125,9,0,52,34,,
1,141,39,2,Alpha,Beta,Disarm,32,28,48,True,False,4,,attacker-wins,Disarm/Break Hold -> FAIL-AND-FALL-BACK -> Inflict Injury,82,Head,Right,fail-and-fall-back,"Fallback HP -4 (Base Inflict Injury, DEC-030)",49,368,72,127,0,0,0,7,,
1,142,40,1,Beta,Alpha,EquipmentDamage,33,73,52,False,False,,,repeat-bothfail,,,,,,,49,368,70,104,0,0,40,8,,
1,143,40,2,Beta,Alpha,EquipmentDamage,34,99,73,False,False,,,repeat-bothfail,,,,,,,46,368,50,55,0,3,65,29,EquipmentDamage-Adv15(T3),
1,144,40,3,Beta,Alpha,EquipmentDamage,35,77,81,False,False,,,repeat-bothfail,,,,,,,15,346,50,50,22,31,42,37,EquipmentDamage-Adv16(T3),
1,145,40,4,Beta,Alpha,EquipmentDamage,36,80,47,False,False,,,repeat-bothfail,,,,,,,15,316,53,50,30,0,44,3,,
1,146,40,5,Beta,Alpha,EquipmentDamage,37,45,20,False,True,,24,defender-wins,,,,,,,15,316,83,55,0,0,8,0,,
1,147,40,1,Alpha,Beta,EquipmentDamage,32,100,14,False,True,,27,defender-wins,,,,,,,-2,316,50,91,17,0,68,0,EquipmentDamage-Adv11(T3),
2,1,1,1,Beta,Alpha,Attack,25,94,27,False,False,,,repeat-bothfail,,,,,,,600,600,150,106,0,0,69,2,,
2,2,1,2,Beta,Alpha,Attack,27,14,10,True,True,13,15,defender-wins,,,,,,,600,600,150,142,0,0,0,0,,
2,3,1,1,Alpha,Beta,Attack,25,59,72,False,False,,,repeat-bothfail,,,,,,,600,600,141,120,0,0,34,47,,
2,4,1,2,Alpha,Beta,Attack,26,60,11,False,True,,15,defender-wins,,,,,,,600,600,131,150,0,0,34,0,,
2,5,2,1,Beta,Alpha,Grapple,25,1,18,True,True,24,7,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-1 Grappled Magnitude -1,600,600,150,150,0,0,0,0,,
2,6,2,1,Alpha,Beta,Grapple,25,76,24,False,True,,2,defender-wins,,,,,,,600,600,124,150,0,0,51,0,,
2,7,3,1,Beta,Alpha,Trip,25,11,19,True,True,14,6,attacker-wins,Knock Prone,11,Legs,Left,n/a,Location 11(Legs/Left) Tier-1 Prone Magnitude -1,600,600,150,150,0,0,0,0,,
2,8,3,1,Alpha,Beta,Trip,25,88,16,False,True,,10,defender-wins,,,,,,,600,600,112,150,0,0,63,0,Trip-Adv1(T3),
2,9,4,1,Beta,Alpha,Disarm,25,80,57,False,False,,,repeat-bothfail,,,,,,,600,600,105,120,0,0,55,32,,
2,10,4,2,Beta,Alpha,Disarm,27,83,74,False,False,,,repeat-bothfail,,,,,,,600,600,81,87,0,0,56,48,,
2,11,4,3,Beta,Alpha,Disarm,29,51,91,False,False,,,repeat-bothfail,,,,,,,590,600,50,86,0,10,22,64,,
2,12,4,4,Beta,Alpha,Disarm,29,20,86,True,False,9,,attacker-wins,Disarm/Break Hold -> FAIL-AND-FALL-BACK -> Inflict Injury,2,Legs,Right,fail-and-fall-back,"Fallback HP -9 (Base Inflict Injury, DEC-030)",545,600,50,116,0,36,0,57,,
2,13,4,1,Alpha,Beta,Disarm,25,80,77,False,False,,,repeat-bothfail,,,,,,,515,600,50,89,30,0,55,51,,Defense-Adv1(T3)
2,14,4,2,Alpha,Beta,Disarm,27,55,35,False,False,,,repeat-bothfail,,,,,,,510,600,50,104,5,0,28,8,Disarm-Adv2(T3),
2,15,4,3,Alpha,Beta,Disarm,28,9,10,True,True,19,17,attacker-wins,Disarm/Break Hold -> FAIL-AND-FALL-BACK -> Inflict Injury,90,Head,Right,fail-and-fall-back,"Fallback HP -2 (Base Inflict Injury, DEC-030)",510,598,91,144,0,0,0,0,,
2,16,5,1,Beta,Alpha,EquipmentDamage,25,61,75,False,False,,,repeat-bothfail,,,,,,,510,598,66,133,0,0,36,45,,
2,17,5,2,Beta,Alpha,EquipmentDamage,26,34,26,False,True,,5,defender-wins,,,,,,,510,598,90,149,0,0,8,0,,
2,18,5,1,Alpha,Beta,EquipmentDamage,25,38,43,False,False,,,repeat-bothfail,,,,,,,510,598,102,150,0,0,13,16,,
2,19,5,2,Alpha,Beta,EquipmentDamage,25,15,70,True,False,10,,attacker-wins,Equipment Damage,51,Arms,Left,pass,Location 51(Arms/Left) Tier-2 EquipmentDamaged Magnitude -2,510,598,137,130,0,0,0,43,,
2,20,6,1,Alpha,Beta,Attack,27,25,60,True,False,2,,attacker-wins,Inflict Injury,,,,,HP -2,510,596,150,120,0,0,0,32,,
2,21,6,1,Beta,Alpha,Attack,27,52,62,False,False,,,repeat-bothfail,,,,,,,510,596,138,118,0,0,25,31,,
2,22,6,2,Beta,Alpha,Attack,27,54,58,False,False,,,repeat-bothfail,,,,,,,510,596,130,114,0,0,27,26,,
2,23,6,3,Beta,Alpha,Attack,28,49,7,False,True,,25,defender-wins,,,,,,,510,596,150,115,0,0,21,0,,
2,24,7,1,Beta,Alpha,Grapple,25,61,28,False,True,,4,defender-wins,,,,,,,510,596,150,104,0,0,36,0,,
2,25,7,1,Alpha,Beta,Grapple,27,46,32,False,False,,,repeat-bothfail,,,,,,,510,596,150,122,0,0,19,3,,
2,26,7,2,Alpha,Beta,Grapple,27,80,94,False,False,,,repeat-bothfail,,,,,,,510,596,120,78,0,0,53,65,,
2,27,7,3,Alpha,Beta,Grapple,28,76,11,False,True,,20,defender-wins,,,,,,,510,596,94,117,0,0,48,0,,
2,28,8,1,Beta,Alpha,Trip,25,76,59,False,False,,,repeat-bothfail,,,,,,,510,596,85,91,0,0,51,27,,
