exchange_#,round,repeat_seq,actor,defender,offense_skill_chosen,offense_skill_value_at_roll,atk_roll,def_roll,atk_success,def_success,atk_margin,def_margin,outcome,effect_declared,location_index,zone,laterality,tag_check,resulting_staterecord,hp_alpha_after,hp_beta_after,pe_alpha_after,pe_beta_after,atk_overflow,def_overflow,atk_failure_xp,def_failure_xp,atk_advanced_skill_created,def_advanced_skill_created
12,4,2,Beta,Alpha,Grapple,32,31,91,True,False,1,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,600,532,79,93,0,0,0,63,,
13,4,1,Alpha,Beta,EquipmentDamage,27,3,86,True,False,24,,attacker-wins,Equipment Damage,30,Torso,Right,pass,Location 30(Torso/Right) Tier-2 EquipmentDamaged Magnitude -2,600,532,126,57,0,0,0,57,,
14,5,1,Alpha,Beta,EquipmentDamage,27,29,52,False,False,,,repeat-bothfail,,,,,,,600,532,147,55,0,0,2,22,,
15,5,2,Alpha,Beta,EquipmentDamage,27,77,1,False,True,,29,defender-wins,,,,,,,600,532,120,104,0,0,50,0,EquipmentDamage-Adv2(T3),
16,5,1,Beta,Alpha,Grapple,32,92,72,False,False,,,repeat-bothfail,,,,,,,600,532,98,62,0,0,60,42,,
17,5,2,Beta,Alpha,Grapple,33,15,15,True,True,18,16,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-1 Grappled Magnitude -1,600,532,133,97,0,0,0,0,,
18,6,1,Beta,Alpha,Grapple,33,43,85,False,False,,,repeat-bothfail,,,,,,,600,532,98,104,0,0,10,54,,
19,6,2,Beta,Alpha,Grapple,33,44,72,False,False,,,repeat-bothfail,,,,,,,600,532,76,110,0,0,11,40,Grapple-Adv2(T3),
20,6,3,Beta,Alpha,Grapple,33,100,39,False,False,,,repeat-bothfail,,,,,,,600,532,87,60,0,0,67,6,Grapple-Adv3(T3),
21,6,4,Beta,Alpha,Grapple,35,60,8,False,True,,25,defender-wins,,,,,,,600,532,129,50,0,0,25,0,,
22,6,1,Alpha,Beta,EquipmentDamage,28,64,21,False,True,,9,defender-wins,,,,,,,600,532,115,79,0,0,36,0,,
23,7,1,Alpha,Beta,EquipmentDamage,29,83,30,False,True,,0,defender-wins,,,,,,,600,532,82,99,0,0,54,0,,
24,7,1,Beta,Alpha,Grapple,35,21,71,True,False,14,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,600,532,61,128,0,0,0,38,,
25,8,1,Beta,Alpha,Grapple,35,48,52,False,False,,,repeat-bothfail,,,,,,,600,532,59,130,0,0,13,18,,
26,8,2,Beta,Alpha,Grapple,35,92,85,False,False,,,repeat-bothfail,,,,,,,574,532,50,88,0,26,57,51,,
27,8,3,Beta,Alpha,Grapple,36,28,85,True,False,8,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,539,532,50,110,0,35,0,50,,
28,8,1,Alpha,Beta,EquipmentDamage,30,16,69,True,False,14,,attacker-wins,Equipment Damage,61,Arms,Left,pass,Location 61(Arms/Left) Tier-2 EquipmentDamaged Magnitude -2,539,532,84,91,0,0,0,39,,
29,9,1,Alpha,Beta,EquipmentDamage,30,58,30,False,True,,1,defender-wins,,,,,,,539,532,76,111,0,0,28,0,,
30,9,1,Beta,Alpha,Grapple,36,24,17,True,True,12,19,defender-wins,,,,,,,539,532,109,137,0,0,0,0,,
31,10,1,Beta,Alpha,Grapple,36,100,4,False,True,,32,defender-wins,,,,,,,539,532,150,87,0,0,64,0,Grapple-Adv4(T3),
32,10,1,Alpha,Beta,EquipmentDamage,30,12,48,True,False,18,,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,21,Legs,Left,fail-and-fall-back,"Fallback HP -18 (Base Inflict Injury, DEC-030)",539,514,150,89,0,0,0,17,,
33,11,1,Alpha,Beta,EquipmentDamage,30,64,26,False,True,,5,defender-wins,,,,,,,539,514,136,113,0,0,34,0,,
34,11,1,Beta,Alpha,Grapple,37,53,13,False,True,,23,defender-wins,,,,,,,539,514,150,110,0,0,16,0,,
35,12,1,Beta,Alpha,Grapple,37,88,59,False,False,,,repeat-bothfail,,,,,,,539,514,141,72,0,0,51,23,Grapple-Adv5(T3),
36,12,2,Beta,Alpha,Grapple,38,3,22,True,True,35,14,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-1 Grappled Magnitude -1,539,514,150,119,0,0,0,0,,
37,12,1,Alpha,Beta,EquipmentDamage,31,62,41,False,False,,,repeat-bothfail,,,,,,,539,514,138,128,0,0,31,10,,
38,12,2,Alpha,Beta,EquipmentDamage,32,30,41,True,False,2,,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,3,Legs,Left,fail-and-fall-back,"Fallback HP -2 (Base Inflict Injury, DEC-030)",539,512,150,137,0,0,0,10,,
39,13,1,Beta,Alpha,Grapple,38,38,42,True,False,0,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,539,512,150,149,0,0,0,6,,
40,13,1,Alpha,Beta,EquipmentDamage,32,51,91,False,False,,,repeat-bothfail,,,,,,,539,512,149,108,0,0,19,60,,
41,13,2,Alpha,Beta,EquipmentDamage,32,32,73,True,False,0,,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,23,Legs,Left,fail-and-fall-back,"Fallback HP -1 (Base Inflict Injury, DEC-030)",539,511,150,85,0,0,0,41,,
42,14,1,Beta,Alpha,Grapple,38,21,88,True,False,17,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,539,511,112,114,0,0,0,52,,Defense-Adv3(T3)
43,14,1,Alpha,Beta,EquipmentDamage,32,69,95,False,False,,,repeat-bothfail,,,,,,,539,511,93,69,0,0,37,62,,
44,14,2,Alpha,Beta,EquipmentDamage,33,61,54,False,False,,,repeat-bothfail,,,,,,,539,511,82,65,0,0,28,20,,
45,14,3,Alpha,Beta,EquipmentDamage,33,91,72,False,False,,,repeat-bothfail,,,,,,,530,504,50,50,9,7,58,38,,
46,14,4,Alpha,Beta,EquipmentDamage,34,44,30,False,True,,5,defender-wins,,,,,,,530,504,56,70,0,0,10,0,EquipmentDamage-Adv4(T3),
47,15,1,Alpha,Beta,EquipmentDamage,34,48,89,False,False,,,repeat-bothfail,,,,,,,530,485,58,50,0,19,14,54,,
48,15,2,Alpha,Beta,EquipmentDamage,34,14,4,True,True,20,32,defender-wins,,,,,,,530,485,94,96,0,0,0,0,,
49,15,1,Beta,Alpha,Grapple,38,1,76,True,False,37,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,530,485,68,145,0,0,0,39,,
50,16,1,Alpha,Beta,EquipmentDamage,34,54,53,False,False,,,repeat-bothfail,,,,,,,530,485,64,142,0,0,20,17,,
51,16,2,Alpha,Beta,EquipmentDamage,34,74,57,False,False,,,repeat-bothfail,,,,,,,520,485,50,135,10,0,40,21,,
52,16,3,Alpha,Beta,EquipmentDamage,35,1,2,True,True,34,34,repeat-tie,,,,,,,520,485,99,150,0,0,0,0,,
53,16,4,Alpha,Beta,EquipmentDamage,35,98,49,False,False,,,repeat-bothfail,,,,,,,520,485,51,150,0,0,63,13,,
54,16,5,Alpha,Beta,EquipmentDamage,36,87,94,False,False,,,repeat-bothfail,,,,,,,484,485,50,106,36,0,51,58,,
55,16,6,Alpha,Beta,EquipmentDamage,37,40,63,False,False,,,repeat-bothfail,,,,,,,484,485,60,93,0,0,3,26,,
56,16,7,Alpha,Beta,EquipmentDamage,37,47,79,False,False,,,repeat-bothfail,,,,,,,484,485,63,64,0,0,10,42,,
57,16,8,Alpha,Beta,EquipmentDamage,37,5,22,True,True,32,16,attacker-wins,Equipment Damage,50,Torso,Right,pass,Location 50(Torso/Right) Tier-1 EquipmentDamaged Magnitude -1,484,485,108,92,0,0,0,0,,
58,16,1,Beta,Alpha,Grapple,38,69,69,False,False,,,repeat-bothfail,,,,,,,484,485,89,73,0,0,31,31,,
59,16,2,Beta,Alpha,Grapple,38,43,68,False,False,,,repeat-bothfail,,,,,,,484,485,71,80,0,0,5,30,,
60,16,3,Beta,Alpha,Grapple,38,85,69,False,False,,,repeat-bothfail,,,,,,,484,480,52,50,5,0,47,31,,
61,16,4,Beta,Alpha,Grapple,39,48,56,False,False,,,repeat-bothfail,,,,,,,480,480,50,52,0,4,9,18,,
62,16,5,Beta,Alpha,Grapple,39,61,79,False,False,,,repeat-bothfail,,,,,,,451,471,50,50,9,29,22,41,,
63,16,6,Beta,Alpha,Grapple,39,75,80,False,False,,,repeat-bothfail,,,,,,,421,446,50,50,25,30,36,41,,
64,16,7,Beta,Alpha,Grapple,39,76,72,False,False,,,repeat-bothfail,,,,,,,399,420,50,50,26,22,37,32,,
65,16,8,Beta,Alpha,Grapple,39,91,26,False,True,,14,defender-wins,,,,,,,399,379,74,50,41,0,52,0,,
66,17,1,Beta,Alpha,Grapple,40,76,98,False,False,,,repeat-bothfail,,,,,,,375,353,50,50,26,24,36,58,,
67,17,2,Beta,Alpha,Grapple,40,93,2,False,True,,39,defender-wins,,,,,,,375,310,98,50,43,0,53,0,,
68,17,1,Alpha,Beta,EquipmentDamage,37,4,64,True,False,33,,attacker-wins,Equipment Damage,40,Torso,Right,pass,Location 40(Torso/Right) Tier-2 EquipmentDamaged Magnitude -2,375,296,144,50,0,14,0,26,,
69,18,1,Alpha,Beta,EquipmentDamage,37,45,36,False,True,,2,defender-wins,,,,,,,375,296,149,64,0,0,8,0,,
70,18,1,Beta,Alpha,Grapple,41,60,17,False,True,,24,defender-wins,,,,,,,375,296,150,54,0,0,19,0,,
71,19,1,Alpha,Beta,EquipmentDamage,37,25,6,True,True,12,32,defender-wins,,,,,,,375,296,150,98,0,0,0,0,,
72,19,1,Beta,Alpha,Grapple,41,37,4,True,True,4,37,defender-wins,,,,,,,375,296,150,111,0,0,0,0,,
73,20,1,Beta,Alpha,Grapple,41,92,86,False,False,,,repeat-bothfail,,,,,,,375,296,114,69,0,0,51,45,,
74,20,2,Beta,Alpha,Grapple,42,17,16,True,True,25,26,defender-wins,,,,,,,375,296,148,102,0,0,0,0,,
75,20,1,Alpha,Beta,EquipmentDamage,37,1,73,True,False,36,,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,10,Legs,Right,fail-and-fall-back,"Fallback HP -36 (Base Inflict Injury, DEC-030)",375,260,150,79,0,0,0,35,,
76,21,1,Alpha,Beta,EquipmentDamage,37,28,56,True,False,9,,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,82,Head,Right,fail-and-fall-back,"Fallback HP -9 (Base Inflict Injury, DEC-030)",375,251,150,73,0,0,0,18,,
77,21,1,Beta,Alpha,Grapple,42,25,56,True,False,17,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,375,251,144,98,0,0,0,14,,
78,22,1,Beta,Alpha,Grapple,42,16,14,True,True,26,28,defender-wins,,,,,,,375,251,150,132,0,0,0,0,,
79,22,1,Alpha,Beta,EquipmentDamage,37,93,74,False,False,,,repeat-bothfail,,,,,,,375,251,107,108,0,0,56,36,,
80,22,2,Alpha,Beta,EquipmentDamage,38,85,98,False,False,,,repeat-bothfail,,,,,,,375,251,72,60,0,0,47,60,,
81,22,3,Alpha,Beta,EquipmentDamage,39,87,84,False,False,,,repeat-bothfail,,,,,,,360,227,50,50,15,24,48,45,,
82,22,4,Alpha,Beta,EquipmentDamage,40,25,5,True,True,15,35,defender-wins,,,,,,,360,227,75,95,0,0,0,0,,
83,23,1,Alpha,Beta,EquipmentDamage,40,66,70,False,False,,,repeat-bothfail,,,,,,,360,227,59,75,0,0,26,30,EquipmentDamage-Adv5(T3),
84,23,2,Alpha,Beta,EquipmentDamage,40,32,27,True,True,8,13,defender-wins,,,,,,,360,227,77,98,0,0,0,0,,
85,23,1,Beta,Alpha,Grapple,42,58,55,False,False,,,repeat-bothfail,,,,,,,360,227,72,90,0,0,16,13,,Defense-Adv6(T3)
86,23,2,Beta,Alpha,Grapple,42,77,100,False,False,,,repeat-bothfail,,,,,,,332,227,50,63,0,28,35,58,Grapple-Adv6(T3),Defense-Adv7(T3)
87,23,3,Beta,Alpha,Grapple,42,82,100,False,False,,,repeat-bothfail,,,,,,,282,208,50,50,19,50,40,57,,Defense-Adv8(T3)
88,23,4,Beta,Alpha,Grapple,42,6,42,True,True,36,2,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-1 Grappled Magnitude -1,282,208,58,94,0,0,0,0,,
89,24,1,Beta,Alpha,Grapple,42,61,38,False,True,,6,defender-wins,,,,,,,282,208,70,83,0,0,19,0,,
90,24,1,Alpha,Beta,EquipmentDamage,40,79,79,False,False,,,repeat-bothfail,,,,,,,273,208,50,54,9,0,39,39,,
91,24,2,Alpha,Beta,EquipmentDamage,40,27,33,True,True,13,7,attacker-wins,Equipment Damage,72,Arms,Right,pass,Location 72(Arms/Right) Tier-1 EquipmentDamaged Magnitude -1,273,208,73,71,0,0,0,0,,
92,25,1,Alpha,Beta,EquipmentDamage,40,22,54,True,False,18,,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,22,Legs,Right,fail-and-fall-back,"Fallback HP -18 (Base Inflict Injury, DEC-030)",273,190,101,67,0,0,0,14,,
93,25,1,Beta,Alpha,Grapple,42,76,38,False,True,,6,defender-wins,,,,,,,273,181,113,50,9,0,34,0,,
94,26,1,Alpha,Beta,EquipmentDamage,40,8,57,True,False,32,,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,80,Head,Right,fail-and-fall-back,"Fallback HP -32 (Base Inflict Injury, DEC-030)",273,142,150,50,0,7,0,17,,
95,26,1,Beta,Alpha,Grapple,42,81,40,False,True,,4,defender-wins,,,,,,,273,111,150,50,31,0,39,0,,
96,27,1,Beta,Alpha,Grapple,42,46,5,False,True,,39,defender-wins,,,,,,,273,111,150,54,0,0,4,0,,
97,27,1,Alpha,Beta,EquipmentDamage,40,77,58,False,False,,,repeat-bothfail,,,,,,,273,107,123,50,0,4,37,18,EquipmentDamage-Adv9(T3),
98,27,2,Alpha,Beta,EquipmentDamage,40,22,31,True,True,18,9,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,22,Legs,Right,fail-and-fall-back,"Fallback HP -9 (Base Inflict Injury, DEC-030)",273,98,150,69,0,0,0,0,,
99,28,1,Alpha,Beta,EquipmentDamage,40,2,21,True,True,38,19,attacker-wins,Equipment Damage -> FAIL-AND-FALL-BACK -> Inflict Injury,20,Legs,Right,fail-and-fall-back,"Fallback HP -19 (Base Inflict Injury, DEC-030)",273,79,150,98,0,0,0,0,,
100,28,1,Beta,Alpha,Grapple,42,97,57,False,False,,,repeat-bothfail,,,,,,,273,79,143,51,0,0,55,13,,
101,28,2,Beta,Alpha,Grapple,43,33,68,True,False,10,,attacker-wins,Impose Condition: Grappled,,,,n/a,Tier-2 Grappled Magnitude -2,273,79,125,68,0,0,0,24,,
102,29,1,Beta,Alpha,Grapple,43,96,18,False,True,,26,defender-wins,,,,,,,273,51,150,50,28,0,53,0,,
103,29,1,Alpha,Beta,EquipmentDamage,40,13,10,True,True,27,30,defender-wins,,,,,,,273,51,150,90,0,0,0,0,,
104,30,1,Beta,Alpha,Grapple,44,44,10,True,True,0,34,defender-wins,,,,,,,273,51,150,96,0,0,0,0,,
105,30,1,Alpha,Beta,EquipmentDamage,40,60,74,False,False,,,repeat-bothfail,,,,,,,273,51,140,72,0,0,20,34,,
106,30,2,Alpha,Beta,EquipmentDamage,40,91,92,False,False,,,repeat-bothfail,,,,,,,273,31,99,50,0,20,51,52,,
107,30,3,Alpha,Beta,EquipmentDamage,41,87,89,False,False,,,repeat-bothfail,,,,,,,273,-8,62,50,0,39,46,48,,
108,30,4,Alpha,Beta,EquipmentDamage,42,40,34,True,True,2,8,defender-wins,,,,,,,273,-8,72,66,0,0,0,0,,
