exchange_#,round,repeat_seq,actor,defender,offense_skill_chosen,offense_skill_value_at_roll,atk_roll,def_roll,atk_success,def_success,atk_margin,def_margin,outcome,effect_declared,location_index,zone,laterality,tag_check,resulting_staterecord,hp_alpha_after,hp_beta_after,pe_alpha_after,pe_beta_after,atk_overflow,def_overflow,atk_failure_xp,def_failure_xp,atk_advanced_skill_created,def_advanced_skill_created
15,3,2,Alpha,Beta,Attack,33,15,23,True,True,18,7,attacker-wins,Inflict Injury,,,,,HP -11,533,574,142,150,0,0,0,0,,
16,4,1,Alpha,Beta,Attack,33,51,91,False,False,,,repeat-bothfail,,,,,,,533,574,141,109,0,0,18,61,,
17,4,2,Alpha,Beta,Attack,33,16,37,True,False,17,,attacker-wins,Inflict Injury,,,,,HP -17,533,557,150,122,0,0,0,5,,
18,4,1,Beta,Alpha,Attack,28,16,29,True,True,12,0,attacker-wins,Inflict Injury,,,,,HP -12,521,557,150,150,0,0,0,0,,
19,5,1,Beta,Alpha,Attack,28,74,38,False,False,,,repeat-bothfail,,,,,,,521,557,150,126,0,0,46,9,,
20,5,2,Beta,Alpha,Attack,29,52,12,False,True,,17,defender-wins,,,,,,,521,557,150,124,0,0,23,0,,
21,5,1,Alpha,Beta,Attack,33,59,99,False,False,,,repeat-bothfail,,,,,,,521,557,141,75,0,0,26,67,,Defense-Adv1(T3)
22,5,2,Alpha,Beta,Attack,33,54,47,False,False,,,repeat-bothfail,,,,,,,521,557,137,78,0,0,21,13,,
23,5,3,Alpha,Beta,Attack,33,85,17,False,True,,17,defender-wins,,,,,,,521,557,102,111,0,0,52,0,,
24,6,1,Alpha,Beta,Attack,34,21,56,True,False,13,,attacker-wins,Inflict Injury,,,,,HP -13,521,544,131,105,0,0,0,22,,
25,6,1,Beta,Alpha,Attack,29,28,2,True,True,1,27,defender-wins,,,,,,,521,544,150,127,0,0,0,0,,
26,7,1,Alpha,Beta,Attack,34,22,3,True,True,12,31,defender-wins,,,,,,,521,544,150,150,0,0,0,0,,
27,7,1,Beta,Alpha,Attack,29,19,65,True,False,10,,attacker-wins,Inflict Injury,,,,,HP -10,511,544,135,150,0,0,0,36,,
28,8,1,Alpha,Beta,Attack,34,97,55,False,False,,,repeat-bothfail,,,,,,,511,544,88,145,0,0,63,21,,Defense-Adv2(T3)
29,8,2,Alpha,Beta,Attack,35,30,88,True,False,5,,attacker-wins,Inflict Injury,,,,,HP -5,511,539,108,107,0,0,0,54,,Defense-Adv3(T3)
30,8,1,Beta,Alpha,Attack,29,86,18,False,True,,12,defender-wins,,,,,,,511,539,140,71,0,0,57,0,,
31,9,1,Alpha,Beta,Attack,35,18,27,True,True,17,8,attacker-wins,Inflict Injury,,,,,HP -9,511,530,150,94,0,0,0,0,,
32,9,1,Beta,Alpha,Attack,30,74,60,False,False,,,repeat-bothfail,,,,,,,511,530,140,70,0,0,44,30,,
33,9,2,Beta,Alpha,Attack,31,81,7,False,True,,24,defender-wins,,,,,,,511,519,150,50,11,0,50,0,,
34,10,1,Beta,Alpha,Attack,32,43,91,False,False,,,repeat-bothfail,,,,,,,511,519,109,57,0,0,11,60,,
35,10,2,Beta,Alpha,Attack,32,23,48,True,False,9,,attacker-wins,Inflict Injury,,,,,HP -9,502,519,111,84,0,0,0,16,,
36,10,1,Alpha,Beta,Attack,35,39,88,False,False,,,repeat-bothfail,,,,,,,502,515,122,50,0,4,4,53,,Defense-Adv4(T3)
37,10,2,Alpha,Beta,Attack,35,49,74,False,False,,,repeat-bothfail,,,,,,,502,491,123,50,0,24,14,38,,
38,10,3,Alpha,Beta,Attack,35,46,71,False,False,,,repeat-bothfail,,,,,,,502,470,127,50,0,21,11,34,,
39,10,4,Alpha,Beta,Attack,35,17,51,True,False,18,,attacker-wins,Inflict Injury,,,,,HP -18,502,451,150,50,0,1,0,14,,
40,11,1,Beta,Alpha,Attack,32,77,65,False,False,,,repeat-bothfail,,,,,,,502,424,135,50,27,0,45,33,Attack-Adv5(T3),
41,11,2,Beta,Alpha,Attack,33,56,98,False,False,,,repeat-bothfail,,,,,,,502,418,87,50,6,0,23,65,,
42,11,3,Beta,Alpha,Attack,33,86,70,False,False,,,repeat-bothfail,,,,,,,502,382,67,50,36,0,53,36,,
43,11,4,Beta,Alpha,Attack,34,41,44,False,False,,,repeat-bothfail,,,,,,,502,382,73,59,0,0,7,9,,Defense-Adv2(T3)
44,11,5,Beta,Alpha,Attack,34,88,68,False,False,,,repeat-bothfail,,,,,,,502,353,55,50,29,0,54,33,Attack-Adv6(T3),
45,11,6,Beta,Alpha,Attack,35,75,12,False,True,,23,defender-wins,,,,,,,502,328,93,50,25,0,40,0,,
46,11,1,Alpha,Beta,Attack,35,97,61,False,False,,,repeat-bothfail,,,,,,,498,317,50,50,4,11,62,24,,
47,11,2,Alpha,Beta,Attack,36,75,26,False,True,,11,defender-wins,,,,,,,473,317,50,74,25,0,39,0,,
48,12,1,Alpha,Beta,Attack,37,4,6,True,True,33,31,attacker-wins,Inflict Injury,,,,,HP -2,473,315,96,118,0,0,0,0,,
49,12,1,Beta,Alpha,Attack,36,13,90,True,False,23,,attacker-wins,Inflict Injury,,,,,HP -23,450,315,56,150,0,0,0,55,,
50,13,1,Alpha,Beta,Attack,37,68,35,False,True,,2,defender-wins,,,,,,,438,315,50,150,12,0,31,0,,
51,13,1,Beta,Alpha,Attack,36,40,53,False,False,,,repeat-bothfail,,,,,,,435,315,50,150,0,3,4,17,,
52,13,2,Beta,Alpha,Attack,36,48,53,False,False,,,repeat-bothfail,,,,,,,432,315,50,150,0,3,12,17,,
53,13,3,Beta,Alpha,Attack,36,3,7,True,True,33,29,attacker-wins,Inflict Injury,,,,,HP -4,428,315,93,150,0,0,0,0,,
54,14,1,Beta,Alpha,Attack,36,80,33,False,True,,3,defender-wins,,,,,,,428,315,110,120,0,0,44,0,,
55,14,1,Alpha,Beta,Attack,37,94,18,False,True,,19,defender-wins,,,,,,,428,315,66,150,0,0,57,0,,
56,15,1,Beta,Alpha,Attack,37,49,96,False,False,,,repeat-bothfail,,,,,,,398,315,50,150,0,30,12,60,,
57,15,2,Beta,Alpha,Attack,37,99,36,False,True,,1,defender-wins,,,,,,,398,315,64,101,0,0,62,0,Attack-Adv7(T3),
58,15,1,Alpha,Beta,Attack,38,14,21,True,True,24,16,attacker-wins,Inflict Injury,,,,,HP -8,398,307,100,130,0,0,0,0,,
59,16,1,Alpha,Beta,Attack,38,48,83,False,False,,,repeat-bothfail,,,,,,,398,307,102,97,0,0,10,46,,
60,16,2,Alpha,Beta,Attack,38,3,95,True,False,35,,attacker-wins,Inflict Injury,,,,,HP -35,398,272,149,52,0,0,0,57,,
61,16,1,Beta,Alpha,Attack,38,49,9,False,True,,28,defender-wins,,,,,,,398,272,150,53,0,0,11,0,,
62,17,1,Beta,Alpha,Attack,38,47,14,False,True,,23,defender-wins,,,,,,,398,272,150,56,0,0,9,0,,
63,17,1,Alpha,Beta,Attack,38,32,10,True,True,6,29,defender-wins,,,,,,,398,272,150,96,0,0,0,0,,
64,18,1,Beta,Alpha,Attack,38,24,11,True,True,14,26,defender-wins,,,,,,,398,272,150,122,0,0,0,0,,
65,18,1,Alpha,Beta,Attack,38,32,80,True,False,6,,attacker-wins,Inflict Injury,,,,,HP -6,398,266,150,92,0,0,0,41,,
66,19,1,Beta,Alpha,Attack,38,75,69,False,False,,,repeat-bothfail,,,,,,,398,266,131,67,0,0,37,32,,
67,19,2,Beta,Alpha,Attack,38,95,48,False,False,,,repeat-bothfail,,,,,,,398,238,133,50,28,0,57,11,,
68,19,3,Beta,Alpha,Attack,39,62,32,False,True,,5,defender-wins,,,,,,,398,226,150,50,12,0,23,0,,
69,19,1,Alpha,Beta,Attack,38,33,89,True,False,5,,attacker-wins,Inflict Injury,,,,,HP -5,398,182,150,50,0,39,0,49,,
70,20,1,Alpha,Beta,Attack,38,52,95,False,False,,,repeat-bothfail,,,,,,,398,137,148,50,0,45,14,54,,
71,20,2,Alpha,Beta,Attack,38,34,64,True,False,4,,attacker-wins,Inflict Injury,,,,,HP -4,398,119,150,50,0,14,0,22,,
72,20,1,Beta,Alpha,Attack,39,65,84,False,False,,,repeat-bothfail,,,,,,,398,104,116,50,15,0,26,47,,
73,20,2,Beta,Alpha,Attack,39,64,70,False,False,,,repeat-bothfail,,,,,,,398,90,96,50,14,0,25,32,,
74,20,3,Beta,Alpha,Attack,39,86,6,False,True,,32,defender-wins,,,,,,,398,54,140,50,36,0,47,0,,
75,21,1,Beta,Alpha,Attack,40,50,54,False,False,,,repeat-bothfail,,,,,,,398,54,136,50,0,0,10,16,,
76,21,2,Beta,Alpha,Attack,40,57,64,False,False,,,repeat-bothfail,,,,,,,398,47,122,50,7,0,17,26,,
77,21,3,Beta,Alpha,Attack,40,100,55,False,False,,,repeat-bothfail,,,,,,,398,-3,117,50,50,0,60,17,Attack-Adv8(T3),Defense-Adv3(T3)
78,21,4,Beta,Alpha,Attack,41,83,41,False,False,,,repeat-bothfail,,,,,,,398,-36,126,50,33,0,42,3,,
79,21,5,Beta,Alpha,Attack,42,50,63,False,False,,,repeat-bothfail,,,,,,,398,-36,113,50,0,0,8,25,,
80,21,6,Beta,Alpha,Attack,42,37,86,True,False,5,,attacker-wins,Inflict Injury,,,,,HP -5,393,-36,77,63,0,0,0,48,,
