actor,atk_margin,atk_overflow,atk_roll,atk_skill_before,atk_skill_gain,atk_xp,combat,def_margin,def_overflow,def_roll,def_skill_before,def_skill_gain,def_xp,defender,effect,effect_mag_after_ad,effect_tier,exchange,hp_after_actor,hp_after_defender,hp_damage,location_index,outcome,skill,tag_check,zone
Beta,,0,95,25,2,70,2,,0,66,26,1,40,Alpha,Prone,,,3,600,600,,,repeat,Trip,,
Beta,23,0,2,25,0,0,2,,0,65,27,1,38,Alpha,Disarm,,2,4,600,577,23,20,attacker-wins,Disarm,fail-and-fall-back,Legs
Beta,,0,84,25,2,59,2,1,0,27,28,0,0,Alpha,Equipment Damage,,,5,600,577,,,defender-wins,Equipment Damage,,
Alpha,,0,59,25,1,34,2,,0,43,25,0,18,Beta,Inflict Injury,,,6,577,600,,,repeat,Attack,,
Alpha,,0,80,25,2,55,2,22,0,3,25,0,0,Beta,Grappled,,,7,577,600,,,defender-wins,Grapple,,
Alpha,,0,27,25,0,2,2,,0,98,25,2,73,Beta,Prone,,,8,577,600,,,repeat,Trip,,
Alpha,,0,37,25,0,12,2,,0,77,27,1,50,Beta,Disarm,,,9,577,600,,,repeat,Disarm,,
Alpha,17,0,8,25,0,0,2,,34,95,28,2,67,Beta,Equipment Damage,,2,10,577,549,17,80,attacker-wins,Equipment Damage,fail-and-fall-back,Head
Beta,1,0,26,27,0,0,2,,0,54,28,0,26,Alpha,Inflict Injury,,,11,549,576,1,,attacker-wins,Attack,,
Beta,,15,89,25,2,64,2,,0,68,28,1,40,Alpha,Grappled,,,12,534,576,,,repeat,Grapple,,
Beta,,23,73,27,1,46,2,19,0,10,29,0,0,Alpha,Prone,,,13,511,576,,,defender-wins,Trip,,
Beta,,0,37,25,0,12,2,20,0,9,29,0,0,Alpha,Disarm,,,14,511,576,,,defender-wins,Disarm,,
Beta,,7,70,27,1,43,2,11,0,18,29,0,0,Alpha,Equipment Damage,,,15,504,576,,,defender-wins,Equipment Damage,,
Alpha,,0,51,26,0,25,2,29,0,1,30,0,0,Beta,Inflict Injury,,,16,576,504,,,defender-wins,Attack,,
Alpha,11,0,16,27,0,0,2,,0,43,30,0,13,Beta,Grappled,1,2,17,576,504,,61,attacker-wins,Grapple,pass,Arms
Alpha,,0,31,25,0,6,2,,0,41,30,0,11,Beta,Prone,,,18,576,504,,,repeat,Trip,,
Alpha,9,0,16,25,0,0,2,,0,96,30,2,66,Beta,Disarm,1,2,19,576,504,,61,attacker-wins,Disarm,pass,Arms
Alpha,,0,34,25,0,9,2,,0,38,32,0,6,Beta,Equipment Damage,,,20,576,504,,,repeat,Equipment Damage,,
Beta,,0,36,27,0,9,2,24,0,5,29,0,0,Alpha,Inflict Injury,,,21,504,576,,,defender-wins,Attack,,
Beta,,0,82,27,2,55,2,6,0,23,29,0,0,Alpha,Grappled,,,22,504,576,,,defender-wins,Grapple,,
Beta,,7,70,28,1,42,2,,0,90,29,2,61,Alpha,Prone,,,23,497,576,,,repeat,Trip,,
Beta,,36,86,25,2,61,2,16,0,15,31,0,0,Alpha,Disarm,,,24,461,576,,,defender-wins,Disarm,,
Beta,13,0,15,28,0,0,2,,0,57,31,0,26,Alpha,Equipment Damage,1,2,25,461,576,,51,attacker-wins,Equipment Damage,pass,Arms
Alpha,,0,60,26,1,34,2,,2,87,32,1,55,Beta,Inflict Injury,,,26,576,459,,,repeat,Attack,,
Alpha,6,0,21,27,0,0,2,,0,34,33,0,1,Beta,Grappled,1,2,27,576,459,,12,attacker-wins,Grapple,pass,Legs
Alpha,,0,99,25,2,74,2,,0,35,33,0,2,Beta,Prone,,,28,576,459,,,repeat,Trip,,
Alpha,4,0,21,25,0,0,2,,0,80,33,1,47,Beta,Disarm,,2,29,576,455,4,12,attacker-wins,Disarm,fail-and-fall-back,Legs
Alpha,24,0,1,25,0,0,2,,0,48,34,0,14,Beta,Equipment Damage,,2,30,576,431,24,10,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Beta,13,0,14,27,0,0,2,,0,39,31,0,8,Alpha,Inflict Injury,,,31,431,563,13,,attacker-wins,Attack,,
Beta,,0,69,29,1,40,2,,0,43,31,0,12,Alpha,Grappled,,,32,431,563,,,repeat,Grapple,,
Beta,,0,64,29,1,35,2,17,0,14,31,0,0,Alpha,Prone,,,33,431,563,,,defender-wins,Trip,,
Beta,,0,45,27,0,18,2,,0,46,31,0,15,Alpha,Disarm,,,34,431,563,,,repeat,Disarm,,
Beta,,0,41,28,0,13,2,,0,47,31,0,16,Alpha,Equipment Damage,,,35,431,563,,,repeat,Equipment Damage,,
Alpha,,0,71,27,1,44,2,26,0,8,34,0,0,Beta,Inflict Injury,,,36,563,431,,,defender-wins,Attack,,
Alpha,,0,89,27,2,62,2,,0,57,34,0,23,Beta,Grappled,,,37,563,431,,,repeat,Grapple,,
Alpha,22,0,5,27,0,0,2,,0,84,34,1,50,Beta,Prone,1,2,38,563,431,,50,attacker-wins,Trip,pass,Torso
Alpha,,0,87,25,2,62,2,,0,51,35,0,16,Beta,Disarm,,,39,563,431,,,repeat,Disarm,,
Alpha,,0,71,25,1,46,2,,11,81,35,1,46,Beta,Equipment Damage,,,40,563,420,,,repeat,Equipment Damage,,
Beta,,0,46,27,0,19,2,,0,69,31,1,38,Alpha,Inflict Injury,,,41,420,563,,,repeat,Attack,,
Beta,23,0,7,30,0,0,2,21,0,11,32,0,0,Alpha,Grappled,1,2,42,420,563,,70,attacker-wins,Grapple,pass,Arms
Beta,20,0,10,30,0,0,2,15,0,17,32,0,0,Alpha,Prone,1,2,43,420,563,,1,attacker-wins,Trip,pass,Legs
Beta,9,0,18,27,0,0,2,,0,66,32,1,34,Alpha,Disarm,,2,44,420,554,9,81,attacker-wins,Disarm,fail-and-fall-back,Head
Beta,,0,38,28,0,10,2,,0,77,33,1,44,Alpha,Equipment Damage,,,45,420,554,,,repeat,Equipment Damage,,
Alpha,9,0,19,28,0,0,2,,0,84,36,1,48,Beta,Inflict Injury,,,46,554,411,9,,attacker-wins,Attack,,
Alpha,,0,73,29,1,44,2,,0,78,37,1,41,Beta,Grappled,,,47,554,411,,,repeat,Grapple,,
Alpha,,0,48,27,0,21,2,36,0,2,38,0,0,Beta,Prone,,,48,554,411,,,defender-wins,Trip,,
Alpha,17,0,10,27,0,0,2,,0,66,38,0,28,Beta,Disarm,,2,49,554,394,17,1,attacker-wins,Disarm,fail-and-fall-back,Legs
Alpha,,0,46,26,0,20,2,,0,87,38,1,49,Beta,Equipment Damage,,,50,554,394,,,repeat,Equipment Damage,,
Beta,,0,33,27,0,6,2,10,0,24,34,0,0,Alpha,Inflict Injury,,,51,394,554,,,defender-wins,Attack,,
Beta,,0,58,30,0,28,2,,0,72,34,1,38,Alpha,Grappled,,,52,394,554,,,repeat,Grapple,,
Beta,16,0,14,30,0,0,2,,0,40,35,0,5,Alpha,Prone,1,2,53,394,554,,41,attacker-wins,Trip,pass,Torso
Beta,,0,95,27,2,68,2,,0,74,35,1,39,Alpha,Disarm,,,54,394,554,,,repeat,Disarm,,
Beta,,6,89,28,2,61,2,,0,78,36,1,42,Alpha,Equipment Damage,,,55,388,554,,,repeat,Equipment Damage,,
Alpha,13,0,15,28,0,0,2,,26,76,39,0,37,Beta,Inflict Injury,,,56,554,349,13,,attacker-wins,Attack,,
Alpha,,0,81,30,1,51,2,,35,85,39,1,46,Beta,Grappled,,,57,554,314,,,repeat,Grapple,,
Alpha,,0,87,27,2,60,2,2,0,38,40,0,0,Beta,Prone,,,58,554,314,,,defender-wins,Trip,,
Alpha,,45,98,27,2,71,2,,0,54,40,0,14,Beta,Disarm,,,59,509,314,,,repeat,Disarm,,
Alpha,,0,49,26,0,23,2,,0,50,40,0,10,Beta,Equipment Damage,,,60,509,314,,,repeat,Equipment Damage,,
Beta,,18,76,27,1,49,2,,0,49,37,0,12,Alpha,Inflict Injury,,,61,296,509,,,repeat,Attack,,
Beta,,0,37,30,0,7,2,20,0,17,37,0,0,Alpha,Grappled,,,62,296,509,,,defender-wins,Grapple,,
Beta,,0,50,30,0,20,2,,0,67,37,0,30,Alpha,Prone,,,63,296,509,,,repeat,Trip,,
Beta,,30,93,29,2,64,2,,0,55,37,0,18,Alpha,Disarm,,,64,266,509,,,repeat,Disarm,,
Beta,1,0,29,30,0,0,2,,7,70,37,0,33,Alpha,Equipment Damage,,2,65,266,501,1,92,attacker-wins,Equipment Damage,fail-and-fall-back,Head
Alpha,,46,96,28,2,68,2,13,0,27,40,0,0,Beta,Inflict Injury,,,66,455,266,,,defender-wins,Attack,,
Alpha,,44,94,31,2,63,2,,2,96,40,1,56,Beta,Grappled,,,67,411,264,,,repeat,Grapple,,
Alpha,,0,45,29,0,16,2,15,0,26,41,0,0,Beta,Prone,,,68,411,264,,,defender-wins,Trip,,
Alpha,,9,64,29,1,35,2,33,0,8,41,0,0,Beta,Disarm,,,69,402,264,,,defender-wins,Disarm,,
Alpha,,0,40,26,0,14,2,,0,73,41,0,32,Beta,Equipment Damage,,,70,402,264,,,repeat,Equipment Damage,,
Beta,,7,100,28,2,72,2,,0,38,37,0,1,Alpha,Inflict Injury,,,71,257,402,,,repeat,Attack,,
Beta,,39,89,30,1,59,2,,0,41,37,0,4,Alpha,Grappled,,,72,218,402,,,repeat,Grapple,,
Beta,,0,46,30,0,16,2,,12,93,37,1,56,Alpha,Prone,,,73,218,390,,,repeat,Trip,,
Beta,,14,68,31,1,37,2,4,0,34,38,0,0,Alpha,Disarm,,,74,204,390,,,defender-wins,Disarm,,
Beta,,38,88,30,1,58,2,31,0,7,38,0,0,Alpha,Equipment Damage,,,75,166,390,,,defender-wins,Equipment Damage,,
Alpha,18,0,12,30,0,0,2,,14,64,41,0,23,Beta,Inflict Injury,,,76,390,134,18,,attacker-wins,Attack,,
Alpha,11,0,22,33,0,0,2,0,0,41,41,0,0,Beta,Grappled,1,2,77,390,134,,22,attacker-wins,Grapple,pass,Legs
Alpha,,0,73,29,1,44,2,39,0,2,41,0,0,Beta,Prone,,,78,390,134,,,defender-wins,Trip,,
Alpha,14,0,16,30,0,0,2,,0,71,41,0,30,Beta,Disarm,,2,79,390,120,14,61,attacker-wins,Disarm,fail-and-fall-back,Arms
Alpha,,0,66,26,1,40,2,,2,88,41,1,47,Beta,Equipment Damage,,,80,390,118,,,repeat,Equipment Damage,,
Beta,,34,84,30,1,54,2,20,0,18,38,0,0,Alpha,Inflict Injury,,,81,84,390,,,defender-wins,Attack,,
Beta,3,0,28,31,0,0,2,18,0,20,38,0,0,Alpha,Grappled,,,82,84,390,,,defender-wins,Grapple,,
Beta,,0,57,30,0,27,2,,0,73,38,0,35,Alpha,Prone,,,83,84,390,,,repeat,Trip,,
Beta,,0,60,32,0,28,2,,0,49,38,0,11,Alpha,Disarm,,,84,84,390,,,repeat,Disarm,,
Beta,,5,60,31,0,29,2,33,0,5,38,0,0,Alpha,Equipment Damage,,,85,79,390,,,defender-wins,Equipment Damage,,
Alpha,,0,89,30,1,59,2,27,0,15,42,0,0,Beta,Inflict Injury,,,86,390,79,,,defender-wins,Attack,,
Alpha,27,0,6,33,0,0,2,19,0,23,42,0,0,Beta,Grappled,1,2,87,390,79,,60,attacker-wins,Grapple,pass,Arms
Alpha,,0,80,30,1,50,2,,0,84,42,1,42,Beta,Prone,,,88,390,79,,,repeat,Trip,,
Alpha,,0,76,30,1,46,2,20,0,23,43,0,0,Beta,Disarm,,,89,390,79,,,defender-wins,Disarm,,
Alpha,,0,34,27,0,7,2,,0,68,43,0,25,Beta,Equipment Damage,,,90,390,79,,,repeat,Equipment Damage,,
Beta,20,0,11,31,0,0,2,22,0,16,38,0,0,Alpha,Inflict Injury,,,91,79,390,,,defender-wins,Attack,,
Beta,,0,87,31,1,56,2,33,0,5,38,0,0,Alpha,Grappled,,,92,79,390,,,defender-wins,Grapple,,
Beta,,0,87,30,1,57,2,6,0,32,38,0,0,Alpha,Prone,,,93,79,390,,,defender-wins,Trip,,
Beta,29,0,3,32,0,0,2,30,0,8,38,0,0,Alpha,Disarm,,,94,79,390,,,defender-wins,Disarm,,
Beta,9,0,22,31,0,0,2,,0,78,38,1,40,Alpha,Equipment Damage,,2,95,79,381,9,22,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,14,0,17,31,0,0,2,5,0,38,43,0,0,Beta,Inflict Injury,,,96,381,70,9,,attacker-wins,Attack,,
Alpha,,0,46,33,0,13,2,,0,65,43,0,22,Beta,Grappled,,,97,381,70,,,repeat,Grapple,,
Alpha,,0,72,31,1,41,2,6,0,37,43,0,0,Beta,Prone,,,98,381,70,,,defender-wins,Trip,,
Alpha,29,0,2,31,0,0,2,,0,55,43,0,12,Beta,Disarm,,2,99,381,41,29,20,attacker-wins,Disarm,fail-and-fall-back,Legs
Alpha,,0,72,27,1,45,2,7,0,36,43,0,0,Beta,Equipment Damage,,,100,381,41,,,defender-wins,Equipment Damage,,
Beta,,0,63,31,1,32,2,14,0,25,39,0,0,Alpha,Inflict Injury,,,101,41,381,,,defender-wins,Attack,,
Beta,,0,36,32,0,4,2,17,0,22,39,0,0,Alpha,Grappled,,,102,41,381,,,defender-wins,Grapple,,
Beta,14,0,17,31,0,0,2,,0,76,39,0,37,Alpha,Prone,1,2,103,41,381,,71,attacker-wins,Trip,pass,Arms
Beta,,0,90,32,1,58,2,18,0,21,39,0,0,Alpha,Disarm,,,104,41,381,,,defender-wins,Disarm,,
Beta,,0,97,31,2,66,2,,0,48,39,0,9,Alpha,Equipment Damage,,,105,41,381,,,repeat,Equipment Damage,,
Alpha,,0,53,31,0,22,2,41,0,2,43,0,0,Beta,Inflict Injury,,,106,381,41,,,defender-wins,Attack,,
Alpha,14,0,19,33,0,0,2,9,0,34,43,0,0,Beta,Grappled,1,2,107,381,41,,91,attacker-wins,Grapple,pass,Head
Alpha,,0,62,32,0,30,2,36,0,7,43,0,0,Beta,Prone,,,108,381,41,,,defender-wins,Trip,,
Alpha,,0,62,31,1,31,2,37,0,6,43,0,0,Beta,Disarm,,,109,381,41,,,defender-wins,Disarm,,
Alpha,1,0,27,28,0,0,2,,0,53,43,0,10,Beta,Equipment Damage,,2,110,381,40,1,72,attacker-wins,Equipment Damage,fail-and-fall-back,Arms
Beta,,0,60,32,0,28,2,12,0,27,39,0,0,Alpha,Inflict Injury,,,111,40,381,,,defender-wins,Attack,,
Beta,,0,92,32,1,60,2,0,0,39,39,0,0,Alpha,Grappled,,,112,40,381,,,defender-wins,Grapple,,
Beta,,0,88,31,1,57,2,,0,60,39,0,21,Alpha,Prone,,,113,40,381,,,repeat,Trip,,
Beta,,20,77,33,1,44,2,,0,77,39,0,38,Alpha,Disarm,,,114,20,381,,,repeat,Disarm,,
Beta,,37,87,33,1,54,2,,0,91,39,1,52,Alpha,Equipment Damage,,,115,-17,381,,,repeat,Equipment Damage,,
Alpha,21,0,4,25,0,0,3,,0,68,25,1,43,Beta,Inflict Injury,,,1,600,579,21,,attacker-wins,Attack,,
Alpha,4,0,21,25,0,0,3,,0,91,26,2,65,Beta,Grappled,1,2,2,600,579,,12,attacker-wins,Grapple,pass,Legs
Alpha,,0,69,25,1,44,3,,0,67,28,1,39,Beta,Prone,,,3,600,579,,,repeat,Trip,,
Alpha,,0,66,25,1,41,3,,0,70,29,1,41,Beta,Disarm,,,4,600,579,,,repeat,Disarm,,
Alpha,,0,40,25,0,15,3,2,0,28,30,0,0,Beta,Equipment Damage,,,5,600,579,,,defender-wins,Equipment Damage,,
Beta,,0,55,25,1,30,3,,0,100,25,2,75,Alpha,Inflict Injury,,,6,579,600,,,repeat,Attack,,
Beta,,20,91,25,2,66,3,13,0,14,27,0,0,Alpha,Grappled,,,7,559,600,,,defender-wins,Grapple,,
Beta,,0,49,25,0,24,3,,0,51,27,0,24,Alpha,Prone,,,8,559,600,,,repeat,Trip,,
Beta,,0,34,25,0,9,3,23,0,4,27,0,0,Alpha,Disarm,,,9,559,600,,,defender-wins,Disarm,,
Beta,,0,50,25,1,25,3,,0,36,27,0,9,Alpha,Equipment Damage,,,10,559,600,,,repeat,Equipment Damage,,
Alpha,,0,100,25,2,75,3,,11,78,30,1,48,Beta,Inflict Injury,,,11,600,548,,,repeat,Attack,,
Alpha,,0,83,25,2,58,3,,49,99,31,2,68,Beta,Grappled,,,12,600,499,,,repeat,Grapple,,
Alpha,,29,96,26,2,70,3,,50,100,33,2,67,Beta,Prone,,,13,571,449,,,repeat,Trip,,
Alpha,,0,43,26,0,17,3,,49,99,35,1,64,Beta,Disarm,,,14,571,400,,,repeat,Disarm,,
Alpha,19,0,6,25,0,0,3,,21,71,36,0,35,Beta,Equipment Damage,1,2,15,571,379,,60,attacker-wins,Equipment Damage,pass,Arms
Beta,,0,30,26,0,4,3,,0,35,27,0,8,Alpha,Inflict Injury,,,16,379,571,,,repeat,Attack,,
Beta,,0,37,27,0,10,3,,0,52,27,0,25,Alpha,Grappled,,,17,379,571,,,repeat,Grapple,,
Beta,,0,39,25,0,14,3,,0,95,27,2,68,Alpha,Prone,,,18,379,571,,,repeat,Trip,,
Beta,,5,99,25,2,74,3,,0,63,29,1,34,Alpha,Disarm,,,19,374,571,,,repeat,Disarm,,
Beta,4,0,22,26,0,0,3,,43,99,30,2,69,Alpha,Equipment Damage,,2,20,374,524,4,22,attacker-wins,Equipment Damage,fail-and-fall-back,Legs
Alpha,21,0,6,27,0,0,3,12,0,24,36,0,0,Beta,Inflict Injury,,,21,524,365,9,,attacker-wins,Attack,,
Alpha,,0,91,27,2,64,3,,0,98,36,1,62,Beta,Grappled,,,22,524,365,,,repeat,Grapple,,
Alpha,0,0,28,28,0,0,3,,16,72,37,0,35,Beta,Prone,1,2,23,524,349,,82,attacker-wins,Trip,pass,Head
Alpha,,0,31,26,0,5,3,,6,56,37,0,19,Beta,Disarm,,,24,524,343,,,repeat,Disarm,,
Alpha,,0,39,25,0,14,3,,38,88,37,1,51,Beta,Equipment Damage,,,25,524,305,,,repeat,Equipment Damage,,
Beta,,38,88,26,2,62,3,,0,61,32,0,29,Alpha,Inflict Injury,,,26,267,524,,,repeat,Attack,,
Beta,,0,41,27,0,14,3,,0,71,32,1,39,Alpha,Grappled,,,27,267,524,,,repeat,Grapple,,
Beta,24,0,1,25,0,0,3,,0,70,33,1,37,Alpha,Prone,1,2,28,267,524,,10,attacker-wins,Trip,pass,Legs
Beta,,0,39,27,0,12,3,,24,77,34,1,43,Alpha,Disarm,,,29,267,500,,,repeat,Disarm,,
Beta,,0,90,26,2,64,3,12,0,23,35,0,0,Alpha,Equipment Damage,,,30,267,500,,,defender-wins,Equipment Damage,,
Alpha,,0,58,27,1,31,3,33,0,5,38,0,0,Beta,Inflict Injury,,,31,500,267,,,defender-wins,Attack,,
Alpha,4,0,25,29,0,0,3,6,0,32,38,0,0,Beta,Grappled,,,32,500,267,,,defender-wins,Grapple,,
Alpha,3,0,25,28,0,0,3,,0,54,38,0,16,Beta,Prone,1,2,33,500,267,,52,attacker-wins,Trip,pass,Arms
Alpha,,0,75,26,1,49,3,,0,63,38,0,25,Beta,Disarm,,,34,500,267,,,repeat,Disarm,,
Alpha,,0,71,25,1,46,3,,0,58,38,0,20,Beta,Equipment Damage,,,35,500,267,,,repeat,Equipment Damage,,
Beta,27,0,1,28,0,0,3,,0,53,35,0,18,Alpha,Inflict Injury,,,36,267,473,27,,attacker-wins,Attack,,
Beta,,0,57,27,1,30,3,,6,76,35,1,41,Alpha,Grappled,,,37,267,467,,,repeat,Grapple,,
Beta,,0,47,25,0,22,3,,38,88,36,1,52,Alpha,Prone,,,38,267,429,,,repeat,Trip,,
