exchange,round,actor,defender,offense_skill,off_val,off_tier,defense_skill,def_val,def_tier,atk_roll,def_roll,atk_margin,def_margin,repeats,outcome,effect,location,tag_check,record,actor_hp,defender_hp,actor_pe,defender_pe,actor_overflow,defender_overflow,actor_gxp_spent,defender_gxp_spent,actor_adv_skill,defender_adv_skill
37,19,Beta,Alpha,Trip,28,2,Defense,39,2,2,88,26,0,1,attacker_wins,Prone,"Legs (idx=20, Right)",n/a,"Prone Tier-2 Magnitude -2 @ Legs (idx=20, Right)",546,564,153,97,0,0,,,,Defense+bep
38,19,Alpha,Beta,Wound,25,2,Defense,39,2,11,28,14,11,1,attacker_wins,Wounded,"Legs (idx=11, Left)",n/a,"Legs (idx=11, Left) Tier-1 Wound -1 (bpe)",564,546,137,153,0,0,,,,
39,20,Beta,Alpha,Attack,33,2,Defense,39,2,63,22,0,17,6,defender_wins,,,n/a,,489,564,51,129,12,0,bpe,bps;bps,,
40,20,Alpha,Beta,EquipmentDamage+bse+bsx,15,4,Defense,40,2,87,4,0,36,4,defender_wins,,,n/a,,564,419,117,98,0,0,bpe,mee,,
41,21,Beta,Alpha,Trip,29,2,Defense,40,2,80,36,0,4,2,defender_wins,,,n/a,,419,564,70,102,0,0,mep,,,
42,21,Alpha,Beta,Trip,25,2,Defense,40,2,42,37,0,3,1,defender_wins,,,n/a,,564,419,111,84,0,0,,,,
43,22,Beta,Alpha,ArmorBypass,29,2,Defense,41,2,4,54,25,0,3,attacker_wins,ArmorBypass,"Abdomen Wall (Torso, idx=40, Right)",fail_and_fallback (no armor here),Fallback Inflict Injury: 25 HP,419,539,133,53,0,0,mes,bps,,
44,22,Alpha,Beta,Grapple,26,2,Defense,40,2,54,36,0,4,1,defender_wins,,,n/a,,538,419,51,148,1,0,,,,
45,23,Beta,Alpha,ArmorBypass,29,2,Defense,41,2,3,53,26,0,1,attacker_wins,ArmorBypass,"Heart (Torso, idx=30, Right)",pass (Body armor (Chest)),"ArmorBypass Tier-2 Magnitude -2 @ Heart (Torso, idx=30, Right)",419,536,153,51,0,2,,,,
46,23,Alpha,Beta,EquipmentDamage+bse,20,3,Defense,40,2,66,20,0,20,1,defender_wins,,,n/a,,521,419,51,153,15,0,bex,,EquipmentDamage+bse+mpp,
47,24,Beta,Alpha,Attack+bex,17,3,Defense,42,2,72,32,0,10,2,defender_wins,,,n/a,,419,486,87,70,0,0,,,,
48,24,Alpha,Beta,EquipmentDamage,30,2,Defense,40,2,53,6,0,34,1,defender_wins,,,n/a,,486,419,68,132,0,0,,,,
49,25,Beta,Alpha,Disarm,25,2,Defense,42,2,26,25,0,17,1,defender_wins,,,n/a,,419,486,153,94,0,0,,,,
50,25,Alpha,Beta,Attack,29,2,Defense,40,2,97,26,0,14,1,defender_wins,,,n/a,,483,419,51,153,3,0,,,,
51,26,Beta,Alpha,EquipmentDamage,30,2,Defense,44,2,94,9,0,35,6,defender_wins,,,n/a,,419,368,92,93,0,0,mex,bpe;bpp,,
52,26,Alpha,Beta,EquipmentDamage,30,2,Defense,40,2,12,72,18,0,1,attacker_wins,EquipmentDamage,"Legs (idx=21, Left)",fail_and_fallback (no matching gear),Fallback Inflict Injury: 18 HP,368,401,132,71,0,0,,mpe,,
53,27,Beta,Alpha,EquipmentDamage,30,2,Defense,44,2,27,11,3,33,1,defender_wins,,,n/a,,401,368,95,153,0,0,,,,
54,27,Alpha,Beta,Wound,25,2,Defense,40,2,38,37,0,3,1,defender_wins,,,n/a,,368,401,153,109,0,0,,,,
55,28,Beta,Alpha,Trip,31,2,Defense,44,2,80,34,0,10,2,defender_wins,,,n/a,,394,368,51,153,7,0,mpp,,,
56,28,Alpha,Beta,EquipmentDamage,31,2,Defense,41,2,26,27,5,14,2,defender_wins,,,n/a,,368,351,150,75,0,0,bps,,,
57,29,Beta,Alpha,EquipmentDamage+mex,18,3,Defense,45,2,9,60,9,0,4,attacker_wins,EquipmentDamage,"Head (idx=90, Right)",pass (Helmet),"EquipmentDamage Tier-3 Magnitude -3 @ Head (idx=90, Right)",319,368,102,90,0,0,mps,bpx,,
58,29,Alpha,Beta,EquipmentDamage,31,2,Defense,41,2,21,18,10,23,1,defender_wins,,,n/a,,368,319,120,135,0,0,,,,
59,30,Beta,Alpha,Wound+mpx,14,3,Defense,45,2,28,11,0,34,2,defender_wins,,,n/a,,319,368,153,128,0,0,,,,
60,30,Alpha,Beta,EquipmentDamage+bse+bsx,15,4,Defense,41,2,19,19,0,22,1,defender_wins,,,n/a,,368,319,153,153,0,0,,,,
61,31,Beta,Alpha,Grapple,28,2,Defense,45,2,80,13,0,32,1,defender_wins,,,n/a,,319,368,124,153,0,0,,,,
62,31,Alpha,Beta,EquipmentDamage+bse+mpp,10,4,Defense,41,2,45,28,0,13,2,defender_wins,,,n/a,,368,319,153,127,0,0,bse,mpx,,
63,32,Beta,Alpha,ArmorBypass,31,2,Defense,46,2,15,5,16,41,4,defender_wins,,,n/a,,319,368,133,128,0,0,mse,,,
64,32,Alpha,Beta,Grapple,27,2,Defense,41,2,47,40,0,1,2,defender_wins,,,n/a,,368,319,129,141,0,0,bsp,,,
65,33,Beta,Alpha,Attack+bex,21,3,Defense,46,2,95,1,0,45,1,defender_wins,,,n/a,,319,368,97,153,0,0,,,,
66,33,Alpha,Beta,EquipmentDamage+bse,20,3,Defense,42,2,20,30,0,12,2,defender_wins,,,n/a,,368,319,153,77,0,0,,,,
67,34,Beta,Alpha,EquipmentDamage+mex,18,3,Defense,46,2,10,17,8,29,1,defender_wins,,,n/a,,319,368,118,153,0,0,,,,
68,34,Alpha,Beta,Wound,26,2,Defense,43,2,28,36,0,7,4,defender_wins,,,n/a,,368,319,153,68,0,0,bss,msp,,
69,35,Beta,Alpha,EquipmentDamage,30,2,Defense,46,2,23,50,7,0,1,attacker_wins,EquipmentDamage,"Torso (idx=32, Right)",pass (Body armor),"EquipmentDamage Tier-2 Magnitude -2 @ Torso (idx=32, Right)",319,368,96,153,0,0,,,,
70,35,Alpha,Beta,EquipmentDamage+bse,20,3,Defense,43,2,19,85,1,0,1,attacker_wins,EquipmentDamage,"Head (idx=91, Left)",pass (Helmet),"EquipmentDamage Tier-3 Magnitude -3 @ Head (idx=91, Left)",368,319,153,62,0,0,,mss,,
71,36,Beta,Alpha,Attack+bex,22,3,Defense,46,2,55,17,0,29,1,defender_wins,,,n/a,,319,368,58,153,0,0,,,Attack+bex+bes,
72,36,Alpha,Beta,ArmorBypass,28,2,Defense,43,2,14,71,14,0,1,attacker_wins,ArmorBypass,"Stomach (Torso, idx=41, Left)",fail_and_fallback (no armor here),Fallback Inflict Injury: 14 HP,368,292,153,51,0,13,,msx,,
73,37,Alpha,Beta,EquipmentDamage+bse,20,3,Defense,43,2,6,23,14,20,1,defender_wins,,,n/a,,368,292,153,79,0,0,,,,
74,37,Beta,Alpha,EquipmentDamage+mex,22,3,Defense,46,2,51,41,0,5,3,defender_wins,,,n/a,,292,368,63,127,0,0,,bsx,,
75,38,Alpha,Beta,EquipmentDamage+bse,21,3,Defense,43,2,1,48,20,0,2,attacker_wins,EquipmentDamage,"Legs (idx=10, Right)",fail_and_fallback (no matching gear),Fallback Inflict Injury: 20 HP,368,272,153,62,0,0,,bee,,
76,38,Beta,Alpha,EquipmentDamage+mex,23,3,Defense,46,2,57,46,0,0,1,defender_wins,,,n/a,,272,368,56,153,0,0,,,,
77,39,Alpha,Beta,EquipmentDamage+bse+mpp,16,4,Defense,43,2,28,5,0,38,3,defender_wins,,,n/a,,368,243,153,97,0,0,mee,bep,,
78,39,Beta,Alpha,Attack+bex,22,3,Defense,46,2,21,75,1,0,1,attacker_wins,Inflict Injury,,n/a,Inflict Injury: 1 HP,243,367,127,129,0,0,,,,
79,40,Alpha,Beta,ArmorBypass,30,2,Defense,44,2,2,83,28,0,4,attacker_wins,ArmorBypass,"Midfoot/Heel (Legs, idx=20, Right)",fail_and_fallback (no armor here),Fallback Inflict Injury: 28 HP,367,201,153,52,0,14,,bes;bex,,
80,40,Beta,Alpha,ArmorBypass,33,2,Defense,46,2,17,20,16,26,3,defender_wins,,,n/a,,152,367,87,153,0,0,,mep,,
81,41,Alpha,Beta,Disarm,31,2,Defense,44,2,93,30,0,14,1,defender_wins,,,n/a,,367,152,111,109,0,0,,,,
82,41,Beta,Alpha,EquipmentDamage+mex+msx,10,4,Defense,47,2,51,1,0,46,2,defender_wins,,,n/a,,152,367,153,115,0,0,,,,
83,42,Beta,Alpha,EquipmentDamage+bes,13,3,Defense,47,2,15,42,0,5,3,defender_wins,,,n/a,,152,367,156,82,0,0,bpe,mes,,
84,42,Alpha,Beta,EquipmentDamage+bse+mpp+bss,19,5,Defense,45,2,5,65,14,0,6,attacker_wins,EquipmentDamage,"Torso (idx=50, Right)",pass (Body armor),"EquipmentDamage Tier-5 Magnitude -5 @ Torso (idx=50, Right)",349,145,117,52,0,7,mex,bpp;bps,,
85,43,Alpha,Beta,EquipmentDamage+bse+bsx,16,4,Defense,45,2,43,1,0,44,1,defender_wins,,,n/a,,349,145,125,103,0,0,,,,
86,43,Beta,Alpha,Trip,31,2,Defense,47,2,36,5,0,42,1,defender_wins,,,n/a,,145,349,119,153,0,0,,,,
87,44,Alpha,Beta,Disarm,31,2,Defense,46,2,5,60,26,0,2,attacker_wins,Disarm,"Torso (idx=50, Right)",fail_and_fallback (no matching gear),Fallback Inflict Injury: 26 HP,349,119,153,71,0,0,,,,
88,44,Beta,Alpha,Trip,32,2,Defense,47,2,30,11,2,36,3,defender_wins,,,n/a,,119,349,91,141,0,0,,mpe;mpp,,
89,45,Alpha,Beta,Grapple,31,2,Defense,46,2,92,41,0,5,2,defender_wins,,,n/a,,349,119,67,105,0,0,,,,
90,45,Beta,Alpha,Attack+bex+bes,15,4,Defense,47,2,41,7,0,40,2,defender_wins,,,n/a,,119,349,78,103,0,0,bpx,,,
91,46,Beta,Alpha,Attack+bex,25,3,Defense,47,2,94,42,0,5,2,defender_wins,,,n/a,,115,349,52,108,4,0,,,,
92,46,Alpha,Beta,EquipmentDamage+bse+mpp,17,4,Defense,46,2,46,7,0,39,1,defender_wins,,,n/a,,349,115,113,97,0,0,,,,
93,47,Beta,Alpha,EquipmentDamage+mex,23,3,Defense,47,2,34,10,0,37,1,defender_wins,,,n/a,,115,349,115,153,0,0,,,,
94,47,Alpha,Beta,ArmorBypass,30,2,Defense,46,2,31,36,0,10,1,defender_wins,,,n/a,,349,115,153,131,0,0,,,,
95,48,Beta,Alpha,Grapple,29,2,Defense,47,2,83,36,0,11,1,defender_wins,,,n/a,,115,349,100,153,0,0,bse,,,
96,48,Alpha,Beta,EquipmentDamage+bse+bsx,21,4,Defense,46,2,32,18,0,28,3,defender_wins,,,n/a,,349,115,134,95,0,0,mps,bsp,,
97,49,Beta,Alpha,Wound,28,2,Defense,47,2,24,56,4,0,1,attacker_wins,Wounded,"Torso (idx=42, Right)",n/a,"Torso (idx=42, Right) Tier-2 Wound -2 (bps)",115,349,123,129,0,0,,,,
98,49,Alpha,Beta,EquipmentDamage+bse,22,3,Defense,46,2,57,1,0,45,2,defender_wins,,,n/a,,349,115,134,156,0,0,bps,,,
99,50,Beta,Alpha,EquipmentDamage+bes,17,3,Defense,47,2,87,9,0,38,1,defender_wins,,,n/a,,115,349,121,153,0,0,,,,
100,50,Alpha,Beta,Trip,28,2,Defense,46,2,87,27,0,19,2,defender_wins,,,n/a,,349,115,117,108,0,0,,bss,,
101,51,Beta,Alpha,Grapple,31,2,Defense,47,2,71,33,0,14,2,defender_wins,,,n/a,,115,349,55,93,0,0,bsx,bps,,
102,51,Alpha,Beta,EquipmentDamage+bse,22,3,Defense,46,2,9,55,13,0,1,attacker_wins,EquipmentDamage,"Head (idx=90, Right)",pass (Helmet),"EquipmentDamage Tier-3 Magnitude -3 @ Head (idx=90, Right)",349,115,135,52,0,0,,,,Defense+bpp
103,52,Beta,Alpha,Wound+mpx,18,3,Defense,47,2,86,31,0,16,1,defender_wins,,,n/a,,81,349,52,153,34,0,,,,
104,52,Alpha,Beta,Trip,28,2,Defense,46,2,14,3,14,43,1,defender_wins,,,n/a,,349,81,153,101,0,0,,,,
105,53,Beta,Alpha,ArmorBypass,35,2,Defense,47,2,100,4,0,43,1,defender_wins,,,n/a,,81,349,53,153,0,0,,,ArmorBypass+msp,
106,53,Alpha,Beta,EquipmentDamage+bse+bsx+msx,13,5,Defense,46,2,79,16,0,30,1,defender_wins,,,n/a,,349,81,125,89,0,0,,,,
107,54,Beta,Alpha,Disarm,25,2,Defense,47,2,9,58,16,0,1,attacker_wins,Disarm,"Head (idx=90, Right)",fail_and_fallback (no matching gear),Fallback Inflict Injury: 16 HP,81,333,132,118,0,0,,,,
108,54,Alpha,Beta,Trip,28,2,Defense,46,2,55,30,0,16,1,defender_wins,,,n/a,,333,81,114,154,0,0,mpx,,Trip+bsx,
109,55,Beta,Alpha,EquipmentDamage+mex+msx,11,4,Defense,47,2,29,31,0,16,1,defender_wins,,,n/a,,81,333,156,134,0,0,,,,
110,55,Alpha,Beta,Disarm,31,2,Defense,46,2,54,20,0,26,1,defender_wins,,,n/a,,333,81,131,156,0,0,,,,
111,56,Beta,Alpha,Attack+bex,25,3,Defense,47,2,22,91,3,0,2,attacker_wins,Inflict Injury,,n/a,Inflict Injury: 3 HP,81,330,156,72,0,0,,mse;msp,,
112,56,Alpha,Beta,EquipmentDamage+bse+mpp,20,4,Defense,46,2,78,13,0,33,1,defender_wins,,,n/a,,324,81,51,156,6,0,,,,
113,57,Beta,Alpha,EquipmentDamage,32,2,Defense,47,2,97,24,0,23,2,defender_wins,,,n/a,,81,299,111,78,0,0,mee,,,
114,57,Alpha,Beta,Trip,30,2,Defense,46,2,10,78,20,0,3,attacker_wins,Prone,"Legs (idx=1, Left)",n/a,"Prone Tier-2 Magnitude -2 @ Legs (idx=1, Left)",290,81,92,65,0,0,mss,mep,,
115,58,Beta,Alpha,Wound,30,2,Defense,47,2,85,33,0,14,1,defender_wins,,,n/a,,61,290,52,110,20,0,,,,
116,58,Alpha,Beta,Grapple,31,2,Defense,46,2,26,36,5,10,1,defender_wins,,,n/a,,290,61,135,68,0,0,,,,
117,59,Beta,Alpha,EquipmentDamage+mex,23,3,Defense,47,2,13,14,10,33,1,defender_wins,,,n/a,,61,290,107,153,0,0,,,,
118,59,Alpha,Beta,Disarm,33,2,Defense,46,2,93,5,0,41,3,defender_wins,,,n/a,,290,61,82,153,0,0,msx,,,
119,60,Beta,Alpha,EquipmentDamage+mex+msx,12,4,Defense,47,2,11,70,1,0,2,attacker_wins,EquipmentDamage,"Legs (idx=11, Left)",fail_and_fallback (no matching gear),Fallback Inflict Injury: 1 HP,61,280,156,51,0,9,,bee,,
120,60,Alpha,Beta,EquipmentDamage+bse+bsx+msx,19,5,Defense,47,2,6,80,13,0,5,attacker_wins,EquipmentDamage,"Arms (idx=60, Right)",pass (Weapon),"EquipmentDamage Tier-5 Magnitude -5 @ Arms (idx=60, Right)",260,61,116,53,0,0,bep,mes;mex,,
121,61,Beta,Alpha,EquipmentDamage+mex+msx,20,4,Defense,47,2,20,53,0,0,4,attacker_wins,EquipmentDamage,"Legs (idx=2, Right)",fail_and_fallback (no matching gear),Fallback Inflict Injury: 0 HP,19,260,84,89,0,0,mpe,bes,,
122,61,Alpha,Beta,Grapple,32,2,Defense,47,2,74,40,0,7,1,defender_wins,,,n/a,,260,19,67,96,0,0,,,,
123,62,Beta,Alpha,ArmorBypass+msp,11,3,Defense,47,2,60,12,0,35,1,defender_wins,,,n/a,,19,260,88,107,0,0,,,,
124,62,Alpha,Beta,EquipmentDamage,31,2,Defense,47,2,24,93,7,0,1,attacker_wins,EquipmentDamage,"Torso (idx=42, Right)",pass (Body armor),"EquipmentDamage Tier-2 Magnitude -2 @ Torso (idx=42, Right)",260,14,135,52,0,5,,mpp,,
125,63,Beta,Alpha,Attack+bex+bes,16,4,Defense,47,2,40,16,0,31,1,defender_wins,,,n/a,,14,260,64,156,0,0,,,,
126,63,Alpha,Beta,Attack,29,2,Defense,47,2,3,5,26,42,1,defender_wins,,,n/a,,260,14,156,111,0,0,,,,
127,64,Beta,Alpha,Attack+bex,28,3,Defense,47,2,61,11,0,36,3,defender_wins,,,n/a,,14,260,76,138,0,0,,bex,,
128,64,Alpha,Beta,EquipmentDamage+bse,24,3,Defense,48,2,17,98,7,0,3,attacker_wins,EquipmentDamage,"Arms (idx=71, Left)",pass (Weapon),"EquipmentDamage Tier-3 Magnitude -3 @ Arms (idx=71, Left)",260,3,156,52,0,11,,mps,,
129,65,Beta,Alpha,ArmorBypass,36,2,Defense,47,2,77,19,0,28,1,defender_wins,,,n/a,,-22,260,52,156,25,0,,,ArmorBypass+mpx,
